module,type,name,res_id,src,value,comments
base,model,"ir.model,name",base.model_avatar_mixin,Avatar Mixin,Смесване на аватари,
web_editor,model,"ir.model,name",web_editor.model_base,Base,Основа,
base,model,"ir.model,name",base.model_base_enable_profiling_wizard,Enable profiling for some time,Активиране на профилиране за известно време,
base,model,"ir.model,name",base.model_base_language_export,Language Export,Експортиране на език,
base,model,"ir.model,name",base.model_base_language_import,Language Import,Въвеждане на език,
base,model,"ir.model,name",base.model_base_language_install,Install Language,Инсталирайте език,
base_import_module,model,"ir.model,name",base_import_module.model_base_module_uninstall,Module Uninstall,Деинсталиране на модул,
base,model,"ir.model,name",base.model_base_module_update,Update Module,Актуализирайте модул,
base,model,"ir.model,name",base.model_base_module_upgrade,Upgrade Module,Надграждане на модул,
base,model,"ir.model,name",base.model_base_partner_merge_automatic_wizard,Merge Partner Wizard,Съветник за сливане на партньори,
base,model,"ir.model,name",base.model_base_partner_merge_line,Merge Partner Line,Линия на сливане на партньори,
base,model,"ir.model,name",base.model_change_password_own,"User, change own password wizard",Съветник за промяна на собствена парола за потребител,
base,model,"ir.model,name",base.model_change_password_user,"User, Change Password Wizard",Съветник за промяна на парола за потребител,
base,model,"ir.model,name",base.model_change_password_wizard,Change Password Wizard,,
base,model,"ir.model,name",base.model_decimal_precision,Decimal Precision,Десетична точност,
base,model,"ir.model,name",base.model_format_address_mixin,Address Format,Формат на адреса,
base,model,"ir.model,name",base.model_format_vat_label_mixin,Country Specific VAT Label,"Етикет за ДДС, специфичен за държавата",
base,model,"ir.model,name",base.model_image_mixin,Image Mixin,Смесване на изображения,
base,model,"ir.model,name",base.model_ir_actions_act_url,Action URL,Унифициран ресурсен локатор - URL на действие,
base,model,"ir.model,name",base.model_ir_actions_act_window,Action Window,Прозорец за действие,
base,model,"ir.model,name",base.model_ir_actions_act_window_close,Action Window Close,Затваряне на прозореца за действие,
kojto_base,model,"ir.model,name",kojto_base.model_ir_actions_act_window_view,Action Window View,Изглед на прозорец за действие,
base,model,"ir.model,name",base.model_ir_actions_actions,Actions,Действия,
base,model,"ir.model,name",base.model_ir_actions_client,Client Action,Дейност на клиент,
base,model,"ir.model,name",base.model_ir_actions_report,Report Action,Действие на отчета,
base,model,"ir.model,name",base.model_ir_actions_server,Server Actions,Действие на сървър,
base,model,"ir.model,name",base.model_ir_actions_todo,Configuration Wizards,Конфигурационни помощници ,
base,model,"ir.model,name",base.model_ir_asset,Asset,Актив,
web_unsplash,model,"ir.model,name",web_unsplash.model_ir_attachment,Attachment,Прикачен файл,
base,model,"ir.model,name",base.model_ir_autovacuum,Automatic Vacuum,Автоматично вакуумиране,
base,model,"ir.model,name",base.model_ir_binary,File streaming helper model for controllers,Модел за помощ при стрийминг на файлове за контролери,
base,model,"ir.model,name",base.model_ir_config_parameter,System Parameter,Системен параметър,
base,model,"ir.model,name",base.model_ir_cron,Scheduled Actions,Планирани действия,
base,model,"ir.model,name",base.model_ir_cron_progress,Progress of Scheduled Actions,Напредък на планираните действия,
base,model,"ir.model,name",base.model_ir_cron_trigger,Triggered actions,Задействани действия,
base,model,"ir.model,name",base.model_ir_default,Default Values,Стандартни стойности,
base,model,"ir.model,name",base.model_ir_demo,Demo,Демо,
base,model,"ir.model,name",base.model_ir_demo_failure,Demo failure,Неуспех на демонстрацията,
base,model,"ir.model,name",base.model_ir_demo_failure_wizard,Demo Failure wizard,Съветник за неуспех на демонстрацията,
base,model,"ir.model,name",base.model_ir_embedded_actions,Embedded Actions,Вградени действия,
base,model,"ir.model,name",base.model_ir_exports,Exports,Експортиране,
base,model,"ir.model,name",base.model_ir_exports_line,Exports Line,Експортиране на ред,
base,model,"ir.model,name",base.model_ir_fields_converter,Fields Converter,Конвертор на полета,
base,model,"ir.model,name",base.model_ir_filters,Filters,Филтри,
web_tour,model,"ir.model,name",web_tour.model_ir_http,HTTP Routing,HTTP маршрутизиране,
base,model,"ir.model,name",base.model_ir_logging,Logging,,
base,model,"ir.model,name",base.model_ir_mail_server,Mail Server,Пощенски сървър,
web,model,"ir.model,name",web.model_ir_model,Models,Модели,
base,model,"ir.model,name",base.model_ir_model_access,Model Access,Достъп до модела,
base,model,"ir.model,name",base.model_ir_model_constraint,Model Constraint,Ограничение на модела,
base,model,"ir.model,name",base.model_ir_model_data,Model Data,Данни за модела,
base,model,"ir.model,name",base.model_ir_model_fields,Fields,Полета,
base,model,"ir.model,name",base.model_ir_model_fields_selection,Fields Selection,Избор на полета,
base,model,"ir.model,name",base.model_ir_model_inherit,Model Inheritance Tree,Дърво на наследяване на модела,
base,model,"ir.model,name",base.model_ir_model_relation,Relation Model,Модел на релации,
base,model,"ir.model,name",base.model_ir_module_category,Application,Кандидатура,
base_import_module,model,"ir.model,name",base_import_module.model_ir_module_module,Module,Модул,
base,model,"ir.model,name",base.model_ir_module_module_dependency,Module dependency,Зависимост на модул,
base,model,"ir.model,name",base.model_ir_module_module_exclusion,Module exclusion,,
base,model,"ir.model,name",base.model_ir_profile,Profiling results,Резултати от профилиране,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb,Qweb,,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field,Qweb Field,Qweb поле,
base,model,"ir.model,name",base.model_ir_qweb_field_barcode,Qweb Field Barcode,Qweb баркод на поле,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_contact,Qweb Field Contact,Qweb контакт на поле,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_date,Qweb Field Date,Qweb дата на поле,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_datetime,Qweb Field Datetime,Qweb дата и час на поле,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_duration,Qweb Field Duration,Qweb продължителност на поле,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_float,Qweb Field Float,Qweb поле с плаваща запетая,
base,model,"ir.model,name",base.model_ir_qweb_field_float_time,Qweb Field Float Time,Qweb поле с плаваща запетая време,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_html,Qweb Field HTML,Qweb поле HTML,
web_unsplash,model,"ir.model,name",web_unsplash.model_ir_qweb_field_image,Qweb Field Image,Qweb изображение на поле,
web,model,"ir.model,name",web.model_ir_qweb_field_image_url,Qweb Field Image,Qweb изображение на поле,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_integer,Qweb Field Integer,Qweb поле цяло число,
base,model,"ir.model,name",base.model_ir_qweb_field_many2many,Qweb field many2many,Qweb поле много2много,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_many2one,Qweb Field Many to One,Qweb поле много към едно,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_monetary,Qweb Field Monetary,Qweb поле парично,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_qweb,Qweb Field qweb,Qweb поле qweb,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_relative,Qweb Field Relative,Qweb поле относително,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_selection,Qweb Field Selection,Qweb поле избор,
web_editor,model,"ir.model,name",web_editor.model_ir_qweb_field_text,Qweb Field Text,Qweb поле текст,
base,model,"ir.model,name",base.model_ir_qweb_field_time,QWeb Field Time,Qweb поле време,
base,model,"ir.model,name",base.model_ir_rule,Record Rule,Правило,
base,model,"ir.model,name",base.model_ir_sequence,Sequence,Последователност,
base,model,"ir.model,name",base.model_ir_sequence_date_range,Sequence Date Range,Диапазон от дати на последователност,
web,model,"ir.model,name",web.model_ir_ui_menu,Menu,Меню,
web_editor,model,"ir.model,name",web_editor.model_ir_ui_view,View,Преглед,
base,model,"ir.model,name",base.model_ir_ui_view_custom,Custom View,Персонализиран изглед,
base,model,"ir.model,name",base.model_report_base_report_irmodulereference,Module Reference Report (base),Отчет за справка за модули (базов),
base,model,"ir.model,name",base.model_report_layout,Report Layout,Оформление на отчета,
base,model,"ir.model,name",base.model_report_paperformat,Paper Format Config,Конфигурация на формата на хартията,
base,model,"ir.model,name",base.model_res_bank,Bank,Банка,
web,model,"ir.model,name",web.model_res_company,Companies,Фирми,
base,model,"ir.model,name",base.model_res_config,Config,Конфиг,
web_unsplash,model,"ir.model,name",web_unsplash.model_res_config_settings,Config Settings,Настройки,
base,model,"ir.model,name",base.model_res_country,Country,Държава,
base,model,"ir.model,name",base.model_res_country_group,Country Group,Група държави,
base,model,"ir.model,name",base.model_res_country_state,Country state,Държава,
base,model,"ir.model,name",base.model_res_currency,Currency,Валута,
base,model,"ir.model,name",base.model_res_currency_rate,Currency Rate,Валутен курс,
base,model,"ir.model,name",base.model_res_device,Devices,Устройства,
base,model,"ir.model,name",base.model_res_device_log,Device Log,Дневник на устройството,
bus,model,"ir.model,name",bus.model_res_groups,Access Groups,Групи за Достъп,
base,model,"ir.model,name",base.model_res_groups_privilege,Privileges,Привилегии,
kojto_base,model,"ir.model,name",kojto_base.model_res_lang,Languages,Езици,
web,model,"ir.model,name",web.model_res_partner,Contact,Контакт,
base,model,"ir.model,name",base.model_res_partner_bank,Bank Accounts,Банкови Сметки,
base,model,"ir.model,name",base.model_res_partner_category,Partner Tags,Маркери на контрагенти,
base,model,"ir.model,name",base.model_res_partner_industry,Industry,Предмет на дейност,
base,model,"ir.model,name",base.model_res_users_apikeys,Users API Keys,API ключове на потребителите,
base,model,"ir.model,name",base.model_res_users_apikeys_description,API Key Description,Описание на API ключа,
base,model,"ir.model,name",base.model_res_users_apikeys_show,Show API Key,Показване на API ключа,
base,model,"ir.model,name",base.model_res_users_deletion,Users Deletion Request,Заявка за изтриване на потребители,
base,model,"ir.model,name",base.model_res_users_identitycheck,Password Check Wizard,Съветник за проверка на парола,
base,model,"ir.model,name",base.model_res_users_log,Users Log,Дневник потребители,
bus,model,"ir.model,name",bus.model_res_users_settings,User Settings,Потребителски настройки,
base,model,"ir.model,name",base.model_reset_view_arch_wizard,Reset View Architecture Wizard,Съветник за нулиране на архитектурата на изгледа,
base,model,"ir.model,name",base.model_wizard_ir_model_menu_create,Create Menu Wizard,Съветник за създаване на менюта,
base_import,model,"ir.model,name",base_import.model_base_import_import,Base Import,Базов импорт,
base_import,model,"ir.model,name",base_import.model_base_import_mapping,Base Import Mapping,Картографиране на базов импорт,
base_import_module,model,"ir.model,name",base_import_module.model_base_import_module,Import Module,Внесете модул,
bus,model,"ir.model,name",bus.model_bus_bus,Communication Bus,Комуникационна шина,
bus,model,"ir.model,name",bus.model_bus_listener_mixin,Can send messages via bus.bus,Може да изпраща съобщения чрез bus.bus,
web_editor,model,"ir.model,name",web_editor.model_ir_websocket,websocket message handling,обработка на съобщения в websocket,
iap,model,"ir.model,name",iap.model_iap_account,IAP Account,IAP Акаунт,
iap,model,"ir.model,name",iap.model_iap_enrich_api,IAP Lead Enrichment API,IAP API за обогатяване на потенциални клиенти,
iap,model,"ir.model,name",iap.model_iap_service,IAP Service,IAP услуга,
kojto_assets,model,"ir.model,name",kojto_assets.model_kojto_asset_booking,Asset Booking,Резервация на активи,
kojto_assets,model,"ir.model,name",kojto_assets.model_kojto_asset_documents,Asset Documents,Документи за активи,
kojto_assets,model,"ir.model,name",kojto_assets.model_kojto_asset_maintenance,Asset Maintenance,Поддръжка на активи,
kojto_assets,model,"ir.model,name",kojto_assets.model_kojto_asset_subcode_rates,Kojto Asset Subcode Rates,Курсове за подкод на активи Kojto,
kojto_assets,model,"ir.model,name",kojto_assets.model_kojto_asset_subcode_rates_dashboard,Kojto Asset Subcode Rates Dashboard,Табло за управление,
kojto_assets,model,"ir.model,name",kojto_assets.model_kojto_asset_value,Asset Value,Стойност на активите,
kojto_assets,model,"ir.model,name",kojto_assets.model_kojto_asset_works,Asset Works,Актив работи,
kojto_assets,model,"ir.model,name",kojto_assets.model_kojto_assets,Asset Management,Управление на активи,
kojto_warehouses,model,"ir.model,name",kojto_warehouses.model_kojto_landingpage,Kojto Landing Page,Целева страница Kojto,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_base_addresses,Kojto Addresses,Kojto Адреси,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_base_bank_accounts,Kojto Base Bank Accounts,Kojto Base Банкови сметки,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_banks,Kojto Banks,Kojto Банки,
kojto_contacts,model,"ir.model,name",kojto_contacts.model_kojto_base_certificates,Kojto Docs Certificates,Kojto Docs Сертификати,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_currency_exchange,Kojto Base Currency Exchange,Kojto Base Обмяна на валута,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_base_emails,Kojto Emails,Който имейли,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_entity_files,Kojto Base Entity Files,Kojto Base Entity Файлове,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_base_images,Kojto Base Images,Kojto Base Изображения,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_incoterms,Kojto Base Incoterms,Kojto Base Инкотермс,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_insurances,Kojto Docs Insurance,Kojto Docs Застраховки,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_material_grades,Material Grades,Степени на материалите,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_base_names,Kojto Names,Kojto Имена,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_payment_terms,Kojto Base Payment Terms,Основни условия за плащане на Kojto,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_base_phones,Kojto Phones,Kojto Телефони,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_predefined_texts,Kojto Base Predefined Texts,Kojto Base Предварително дефинирани текстове,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_stores,Kojto Base Stores,Който Склад Магазини,
kojto_contacts,model,"ir.model,name",kojto_contacts.model_kojto_base_tax_numbers,Kojto Tax Numbers,Който данъчни номера,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_text_translations,Kojto Base Text Translations,Kojto Base Текст Преводи,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_units,Kojto Units,Който единици,
kojto_base,model,"ir.model,name",kojto_base.model_kojto_base_units_translation,Kojto Base Units Translation,Превод на базови единици Kojto,
kojto_commission_codes,model,"ir.model,name",kojto_commission_codes.model_kojto_commission_codes,Kojto Codes,Който кодове,
kojto_commission_codes,model,"ir.model,name",kojto_commission_codes.model_kojto_commission_main_codes,Kojto Main Codes,Kojto Основни кодове,
kojto_commission_codes,model,"ir.model,name",kojto_commission_codes.model_kojto_commission_subcodes,Kojto Subcodes,Който подкодове,
kojto_contacts,model,"ir.model,name",kojto_contacts.model_kojto_contacts,Kojto Crm Companies,,
kojto_contacts,model,"ir.model,name",kojto_contacts.model_kojto_contacts_credit_limit,Credit Limits for Kojto Contacts,Кредитни лимити за Kojto Contacts,
kojto_contacts,model,"ir.model,name",kojto_contacts.model_kojto_contacts_positions,Relationship between Person and Company,Връзка между лице и фирма,
kojto_factory,model,"ir.model,name",kojto_factory.model_kojto_contract_contents,Kojto Contract Contents,Съдържание на договор Kojto,
kojto_contracts,model,"ir.model,name",kojto_contracts.model_kojto_contracts,Kojto Contracts,Който договори,
kojto_deliveries,model,"ir.model,name",kojto_deliveries.model_kojto_deliveries,Delivery Information,Информация за доставка,
kojto_deliveries,model,"ir.model,name",kojto_deliveries.model_kojto_delivery_cmr,Delivery CMR,Доставка CMR,
kojto_deliveries,model,"ir.model,name",kojto_deliveries.model_kojto_delivery_consumed_materials,Delivery Consumed Materials,Доставка Консумирани материали,
kojto_technical_docs,model,"ir.model,name",kojto_technical_docs.model_kojto_delivery_contents,Delivery Contents,Съдържание на доставката,
kojto_deliveries,model,"ir.model,name",kojto_deliveries.model_kojto_delivery_inspection_certificates,Delivery Inspection Certificates,Сертификати за проверка на доставката,
kojto_deliveries,model,"ir.model,name",kojto_deliveries.model_kojto_delivery_package_contents,Delivery Package Contents,Съдържание на пакета за доставка,
kojto_deliveries,model,"ir.model,name",kojto_deliveries.model_kojto_delivery_packages,Delivery Packages,Пакети за доставка,
kojto_deliveries,model,"ir.model,name",kojto_deliveries.model_kojto_delivery_packaging_material_items,Delivery Packaging Material Items,Опаковъчни материали,
kojto_deliveries,model,"ir.model,name",kojto_deliveries.model_kojto_delivery_packaging_materials,Delivery Packaging Materials,Опаковъчни материали,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_doc_control,Control Document,Контролен документ,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_doc_control_cl_mixin,Check List Control Mixin,Списък за проверка на контролния микс,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_doc_control_mt_mixin,Magnetic Particle Testing Control Mixin,Контролен миксин за тестване на магнитни частици,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_doc_control_pt_mixin,Penetrant Testing Control Mixin,Контролна смес за изпитване на пенетрант,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_doc_control_rt_mixin,Radiographic Testing Control Mixin,Контролен миксин за радиографско изследване,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_doc_control_ut_mixin,Ultrasonic Testing Control Mixin,Ултразвуково тестване Control Mixin,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_doc_control_vt_mixin,Visual Testing Control Mixin,Визуално тестване Control Mixin,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_doc_welding_tasks,Welding Tasks,Заваръчни задачи,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_document_bundles,En1090 Document Bundles,Пакети документи En1090,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_equipment,Equipment for EN1090 Controls,Оборудване за контроли EN1090,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_pdf_generator,EN1090 PDF Generator Mixin,EN1090 PDF генератор Mixin,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_translations,EN1090 Translations,EN1090 Преводи,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_weld_depositions,Welding Depositions,Заваръчни отлагания,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_weld_geometries,Universal Weld Geometries for EN 1090 Compliance,Универсална геометрия на заваръчните шевове за съответствие с EN 1090,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_welding_certificates,EN1090 Welding Certificates,EN1090 Сертификати за заваряване,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_welding_parameter_contents,Welding Parameter Contents,Съдържание на заваръчните параметри,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_welding_parameters,Welding Parameters,Параметри на заваряване,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_welding_processes,Welding Processes,Заваръчни процеси,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_welding_seams,Welding Seams,Заваръчни шевове,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_welding_specialists,Welding Specialists,Специалисти по заваряване,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_wpqrs,Welding Procedure Qualification Record (WPQR),WPQR,
kojto_en1090,model,"ir.model,name",kojto_en1090.model_kojto_en1090_wps,WPS,,
kojto_factory,model,"ir.model,name",kojto_factory.model_kojto_factory_item_dimensions_wizard,Item Dimensions Wizard,Съветник за размери на артикул,
kojto_factory,model,"ir.model,name",kojto_factory.model_kojto_factory_job_contents,Kojto Factory Job-Task Relation,Kojto Factory Връзка работа-задача,
kojto_factory,model,"ir.model,name",kojto_factory.model_kojto_factory_jobs,Kojto Factory Jobs,Kojto Factory Работа,
kojto_factory,model,"ir.model,name",kojto_factory.model_kojto_factory_package_contents,Package Contents,Съдържание на пакета,
kojto_factory,model,"ir.model,name",kojto_factory.model_kojto_factory_packages,Kojto Factory Packages,Kojto Factory Пакети,
kojto_factory,model,"ir.model,name",kojto_factory.model_kojto_factory_processes,Kojto Factory Processes,Kojto Factory Процеси,
kojto_factory,model,"ir.model,name",kojto_factory.model_kojto_factory_tasks,Kojto Factory Tasks,Kojto Factory Задачи,
kojto_warehouses,model,"ir.model,name",kojto_warehouses.model_kojto_warehouses_transactions,Warehouse Transactions,Складови транзакции,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_accounting_accounts,Kojto Finance Accounting Accounts,Kojto Finance Счетоводни сметки,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_accounting_identifiers,Kojto Finance Accounting Identifiers,Счетоводни идентификатори на Kojto Finance,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_accounting_ops,Kojto Finance Accounting Operations,Kojto Finance Счетоводни операции,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_accounting_subtypes,Kojto Finance Accounting Subtypes,Kojto Finance Счетоводни подвидове,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_accounting_templates,Kojto Finance Accounting Templates,Kojto Finance Счетоводни шаблони,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_accounting_types,Kojto Finance Accounting Types,Kojto Finance Видове счетоводство,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_accounts_balance_report,Kojto Finance Accounts Balance Report,Отчет за салдото на сметки Kojto Finance,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_asset_works_dashboard,Finance Asset Works Dashboard,Табло за управление – активност на активи,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_bank_statements,Kojto Finance Bank Statements,Банкови извлечения,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_bank_statements_import,Bank Statements Import,Импортиране на банкови извлечения,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_cashflow,Kojto Finance Cashflow,Kojto Finance Паричен поток,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_cashflow_allocation,Kojto Finance Cashflow Allocation,Kojto Finance Разпределение на паричните потоци,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_cashflow_dashboard,Finance Cash Flow Dashboard,Табло за управление – паричен поток,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_cashflow_exportselectiontoajur,Kojto Finance Cashflow Export Selection To Ajur,Kojto Finance Избор на износ на паричен поток към Ajur,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_exportselectiontoajur,Kojto Finance Export Selection To Ajur,Kojto Finance Паричен поток,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_invoice_contents,Kojto Finance Invoice Contents,Kojto Finance Съдържание на фактурата,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_invoices,Kojto Finance Invoice,Kojto Finance Фактура,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_invoices_exportselectiontoajur,Kojto Finance Invoices Export Selection To Ajur,Kojto Finance Експортиране на фактури към Ajur,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_revenue_expense_dashboard,Finance Revenue Expense Dashboard,Табло за управление – приходи и разходи,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_single_account_balance,Kojto Finance Single Account Balance,Салдо по единична сметка Kojto Finance,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_subcode_balance,Kojto Finance Subcode Balance Wizard,Kojto Finance Събкод баланс,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_time_tracking_dashboard,Finance Time Tracking Dashboard,Табло за управление – работно време,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_vat_treatment,Kojto Finance Vat Treatment,Kojto Finance ДДС лечение,
kojto_finance,model,"ir.model,name",kojto_finance.model_kojto_finance_vat_treatment_translation,Kojto Base Vat Treatment Translations,Kojto Base Преводи за обработка на ДДС,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_hr_business_trip_contents,Kojto HR Business Trip Contents,Kojto HR Съдържание на командировката,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_hr_business_trip_logbook,Business Trip Logbook Entry,Вписване в дневника на командировката,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_hr_business_trip_payments,Kojto HR Business Trip Payments to Employee,Kojto HR командировъчни плащания на служител,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_hr_business_trips,Kojto Hr Business Trips,Kojto Hr Командировки,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_hr_calendar_event,Kojto Hr Calendar Event,Kojto Hr Календар,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_hr_calendar_filters,Kojto Hr Calendar Filters,Kojto Hr Календар Филтри,
kojto_hr,model,"ir.model,name",kojto_hr.model_kojto_hr_dashboard,Kojto HR Dashboard,Kojto HR табло,
